map,algorithm,weight,steps,normalized_steps,optimality_ratio,success
8room_000,W-SIPP Dupl,1.1,1648,1.6447105788423153,1.0,true
8room_000,W-SIPP Re-exp,1.1,917,0.9151696606786427,1.0,true
8room_000,Focal SIPP,1.1,966,0.9640718562874252,1.0,true
8room_000,W-SIPP Dupl,1.25,1321,1.318363273453094,1.0,true
8room_000,W-SIPP Re-exp,1.25,813,0.811377245508982,1.0,true
8room_000,Focal SIPP,1.25,886,0.8842315369261478,1.0,true
8room_000,W-SIPP Dupl,1.5,932,0.9301397205588823,1.0,true
8room_000,W-SIPP Re-exp,1.5,656,0.654690618762475,1.0,true
8room_000,Focal SIPP,1.5,696,0.6946107784431138,1.0,true
8room_000,W-SIPP Dupl,2.0,664,0.6626746506986028,1.0,true
8room_000,W-SIPP Re-exp,2.0,579,0.5778443113772455,1.0,true
8room_000,Focal SIPP,2.0,71,0.07085828343313373,1.0,true
8room_000,W-SIPP Dupl,4.0,390,0.38922155688622756,1.0833333333333333,true
8room_000,W-SIPP Re-exp,4.0,449,0.4481037924151697,1.0595238095238095,true
8room_000,Focal SIPP,4.0,71,0.07085828343313373,1.0,true
8room_000,W-SIPP Dupl,1.1,575,1.7530487804878048,1.0,true
8room_000,W-SIPP Re-exp,1.1,318,0.9695121951219512,1.0,true
8room_000,Focal SIPP,1.1,298,0.9085365853658537,1.0,true
8room_000,W-SIPP Dupl,1.25,451,1.375,1.0,true
8room_000,W-SIPP Re-exp,1.25,294,0.8963414634146342,1.0,true
8room_000,Focal SIPP,1.25,265,0.8079268292682927,1.0,true
8room_000,W-SIPP Dupl,1.5,319,0.9725609756097561,1.0,true
8room_000,W-SIPP Re-exp,1.5,273,0.8323170731707317,1.0,true
8room_000,Focal SIPP,1.5,156,0.47560975609756095,1.0,true
8room_000,W-SIPP Dupl,2.0,175,0.5335365853658537,1.0,true
8room_000,W-SIPP Re-exp,2.0,227,0.6920731707317073,1.0,true
8room_000,Focal SIPP,2.0,213,0.649390243902439,1.0,true
8room_000,W-SIPP Dupl,4.0,43,0.13109756097560976,1.0,true
