map,algorithm,weight,steps,normalized_steps,optimality_ratio,success
AR0016SR,W-SIPP Dupl,1.1,131,1.8714285714285714,1.0,true
AR0016SR,W-SIPP Re-exp,1.1,70,1.0,1.0,true
AR0016SR,Focal SIPP,1.1,51,0.7285714285714285,1.0,true
AR0016SR,W-SIPP Dupl,1.25,101,1.4428571428571428,1.0,true
AR0016SR,W-SIPP Re-exp,1.25,61,0.8714285714285714,1.0,true
AR0016SR,Focal SIPP,1.25,45,0.6428571428571429,1.0,true
AR0016SR,W-SIPP Dupl,1.5,40,0.5714285714285714,1.0,true
AR0016SR,W-SIPP Re-exp,1.5,44,0.6285714285714286,1.0,true
AR0016SR,Focal SIPP,1.5,61,0.8714285714285714,1.0,true
AR0016SR,W-SIPP Dupl,2.0,33,0.4714285714285714,1.0,true
AR0016SR,W-SIPP Re-exp,2.0,33,0.4714285714285714,1.0,true
AR0016SR,Focal SIPP,2.0,45,0.6428571428571429,1.5217391304347827,true
AR0016SR,W-SIPP Dupl,4.0,51,0.7285714285714285,1.5217391304347827,true
AR0016SR,W-SIPP Re-exp,4.0,59,0.8428571428571429,1.0,true
AR0016SR,Focal SIPP,4.0,45,0.6428571428571429,1.5217391304347827,true
AR0016SR,W-SIPP Dupl,1.1,3963,1.7222946544980444,1.0,true
AR0016SR,W-SIPP Re-exp,1.1,2174,0.944806605823555,1.0,true
AR0016SR,Focal SIPP,1.1,2195,0.9539330725771403,1.0,true
AR0016SR,W-SIPP Dupl,1.25,3179,1.3815732290308562,1.0,true
AR0016SR,W-SIPP Re-exp,1.25,1879,0.8166014776184267,1.0,true
AR0016SR,Focal SIPP,1.25,1547,0.672316384180791,1.0,true
AR0016SR,W-SIPP Dupl,1.5,2204,0.9578444154715341,1.0,true
AR0016SR,W-SIPP Re-exp,1.5,1490,0.6475445458496306,1.0,true
AR0016SR,Focal SIPP,1.5,2454,1.0664928292046936,1.0,true
AR0016SR,W-SIPP Dupl,2.0,1156,0.5023902651021295,1.0,true
AR0016SR,W-SIPP Re-exp,2.0,984,0.4276401564537158,1.0,true
AR0016SR,Focal SIPP,2.0,1984,0.8622338113863538,1.0,true
AR0016SR,W-SIPP Dupl,4.0,226,0.09821816601477619,1.0,true
AR0016SR,W-SIPP Re-exp,4.0,324,0.1408083441981747,1.0,true
AR0016SR,Focal SIPP,4.0,55,0.023902651021295088,1.0298507462686568,true
AR0016SR,W-SIPP Dupl,1.1,90,1.0112359550561798,1.0,true
AR0016SR,W-SIPP Re-exp,1.1,90,1.0112359550561798,1.0,true
AR0016SR,Focal SIPP,1.1,46,0.5168539325842697,1.048780487804878,true
AR0016SR,W-SIPP Dupl,1.25,109,1.2247191011235956,1.0,true
AR0016SR,W-SIPP Re-exp,1.25,109,1.2247191011235956,1.0,true
AR0016SR,Focal SIPP,1.25,46,0.5168539325842697,1.048780487804878,true
AR0016SR,W-SIPP Dupl,1.5,160,1.797752808988764,1.0,true
AR0016SR,W-SIPP Re-exp,1.5,164,1.8426966292134832,1.0,true
AR0016SR,Focal SIPP,1.5,46,0.5168539325842697,1.048780487804878,true
AR0016SR,W-SIPP Dupl,2.0,254,2.853932584269663,1.0,true
AR0016SR,W-SIPP Re-exp,2.0,276,3.101123595505618,1.0,true
AR0016SR,Focal SIPP,2.0,46,0.5168539325842697,1.048780487804878,true
AR0016SR,W-SIPP Dupl,4.0,499,5.606741573033708,1.8048780487804879,true
