obstacles 153
obstacle 0
0 51 17
1 51 18
2 51 19
3 51 20
4 51 21
5 51 22
6 51 23
7 52 23
8 53 23
9 54 23
10 55 23
11 55 24
12 55 25
13 55 26
14 55 27
15 55 28
16 55 29
17 55 30
18 55 31
19 54 31
20 54 32
21 54 33
22 54 34
23 54 35
24 54 36
25 54 37
26 54 38
27 55 38
end
obstacle 1
0 20 46
1 20 45
2 20 44
3 20 43
4 20 42
5 20 41
6 21 41
7 22 41
8 22 40
9 22 39
10 22 38
11 22 37
12 22 36
13 22 35
14 22 34
15 22 33
16 22 32
17 22 31
18 22 30
19 22 29
20 22 28
21 22 27
22 22 26
23 22 25
24 21 25
25 21 24
26 21 23
27 21 22
28 21 21
29 21 20
30 20 20
31 19 20
32 18 20
33 17 20
34 17 21
35 17 22
36 16 22
37 15 22
38 15 21
39 15 20
40 14 20
41 13 20
end
obstacle 2
0 1 11
1 2 11
2 3 11
3 4 11
4 5 11
5 6 11
6 6 10
7 6 9
8 5 9
9 5 8
10 5 7
11 6 7
12 7 7
13 7 6
14 7 5
15 7 4
16 7 3
17 8 3
18 9 3
19 10 3
20 11 3
21 12 3
22 13 3
23 14 3
24 15 3
25 15 4
26 15 5
27 16 5
28 17 5
29 18 5
30 19 5
31 20 5
32 21 5
33 22 5
34 23 5
35 23 6
36 24 6
37 25 6
38 26 6
39 27 6
40 28 6
41 29 6
42 30 6
43 31 6
44 31 5
45 31 4
46 31 3
47 31 2
48 31 1
49 32 1
50 33 1
51 33 2
52 33 3
53 34 3
54 35 3
55 36 3
56 37 3
57 37 4
58 37 5
59 37 6
60 37 7
61 37 8
62 37 9
63 38 9
64 39 9
65 39 10
66 40 10
67 41 10
68 42 10
69 43 10
70 44 10
71 45 10
72 46 10
73 47 10
74 47 9
75 48 9
76 49 9
77 50 9
78 51 9
79 52 9
80 52 8
81 52 7
82 52 6
83 52 5
84 52 4
85 52 3
86 51 3
87 50 3
end
obstacle 3
0 45 9
1 44 9
2 43 9
3 42 9
4 41 9
5 41 10
6 40 10
7 39 10
8 39 9
9 38 9
10 37 9
11 37 8
12 37 7
13 37 6
14 37 5
15 37 4
16 37 3
17 36 3
18 35 3
19 34 3
20 33 3
21 33 2
22 33 1
23 32 1
24 31 1
25 31 2
26 31 3
27 30 3
28 29 3
29 28 3
30 27 3
31 26 3
32 25 3
33 25 4
34 25 5
35 25 5
36 25 5
37 25 5
38 25 6
39 24 6
40 23 6
41 23 5
42 23 4
43 23 3
44 22 3
45 21 3
46 20 3
47 19 3
48 18 3
49 17 3
50 17 4
51 17 5
52 16 5
53 15 5
54 15 4
55 15 3
56 14 3
57 13 3
58 12 3
59 11 3
60 10 3
61 9 3
end
obstacle 4
0 56 43
1 55 43
2 55 42
3 55 41
4 54 41
5 53 41
6 53 40
7 53 39
8 53 38
9 53 37
10 53 36
11 53 35
12 53 34
13 53 33
14 52 33
15 51 33
16 50 33
17 49 33
18 49 34
19 48 34
20 47 34
21 47 33
22 46 33
23 45 33
24 44 33
25 43 33
26 42 33
27 41 33
28 41 32
29 41 31
30 41 30
31 41 29
32 41 28
33 41 27
34 41 26
35 41 25
36 40 25
37 39 25
38 38 25
39 37 25
40 36 25
41 35 25
42 34 25
43 33 25
44 33 24
45 33 23
46 34 23
47 35 23
48 36 23
49 37 23
50 38 23
51 38 22
52 38 21
53 38 20
end
obstacle 5
0 58 51
1 58 50
2 58 49
3 59 49
4 60 49
5 60 48
6 60 47
7 60 46
8 60 45
9 60 44
10 60 43
11 60 42
12 60 41
13 60 40
14 60 39
15 60 38
16 60 37
17 60 36
18 59 36
