obstacles 134
obstacle 0
0 19 35
1 19 36
2 19 37
3 19 38
4 19 39
5 19 40
6 19 41
7 19 42
8 19 43
9 20 43
10 20 44
11 21 44
12 21 45
13 22 45
14 22 46
15 23 46
16 23 47
17 24 47
18 24 48
19 25 48
20 26 48
21 27 48
22 28 48
23 29 48
24 30 48
25 31 48
26 31 49
27 32 49
28 32 50
29 33 50
30 33 51
31 34 51
32 34 52
33 35 52
34 35 53
35 36 53
36 36 54
37 37 54
38 37 55
39 38 55
40 38 56
41 39 56
42 39 57
43 40 57
44 40 58
45 41 58
46 41 59
47 42 59
48 42 60
49 43 60
50 43 61
51 44 61
52 45 61
53 46 61
54 47 61
55 48 61
56 49 61
57 50 61
58 51 61
59 52 61
60 53 61
61 54 61
62 55 61
63 56 61
64 57 61
65 58 61
66 58 60
67 58 59
68 59 59
69 60 59
70 61 59
71 62 59
72 62 58
73 62 57
74 61 57
75 61 56
76 60 56
77 60 55
78 60 54
79 61 54
80 61 53
81 62 53
82 63 53
83 64 53
84 65 53
85 66 53
86 67 53
87 68 53
88 68 52
89 68 51
90 68 50
91 69 50
92 69 49
93 70 49
94 71 49
95 71 48
96 72 48
97 73 48
end
obstacle 1
0 57 68
1 57 69
2 57 70
3 56 70
4 55 70
5 55 71
6 54 71
7 54 72
8 53 72
9 52 72
10 52 73
11 52 74
12 52 75
13 52 76
14 53 76
end
obstacle 2
0 36 12
1 36 13
2 36 14
3 35 14
4 35 15
5 35 16
6 35 17
7 35 18
end
obstacle 3
0 32 18
1 33 18
2 33 19
3 33 20
4 33 21
5 34 21
6 35 21
7 36 21
8 36 22
9 36 23
10 36 24
11 36 25
12 37 25
13 37 26
14 38 26
15 38 27
16 38 28
17 38 29
18 37 29
19 36 29
20 35 29
21 34 29
22 33 29
23 32 29
24 31 29
25 31 28
26 30 28
27 30 27
28 29 27
29 29 26
30 28 26
31 28 25
32 27 25
33 26 25
34 26 24
35 25 24
36 25 23
37 24 23
38 23 23
39 23 22
40 22 22
41 21 22
42 20 22
43 19 22
44 19 23
45 18 23
46 17 23
47 17 24
48 16 24
49 16 25
50 15 25
51 15 26
52 14 26
53 14 27
54 13 27
55 13 28
56 12 28
57 12 29
58 11 29
59 11 30
60 10 30
61 9 30
end
obstacle 4
0 66 34
1 66 35
2 66 36
3 66 37
4 65 37
5 65 38
6 64 38
7 64 39
8 63 39
9 63 40
10 62 40
11 62 41
12 62 42
13 62 43
14 61 43
15 60 43
16 59 43
17 59 44
18 58 44
19 57 44
20 57 43
21 56 43
22 55 43
23 54 43
24 53 43
25 53 42
26 52 42
27 52 41
28 51 41
29 50 41
30 49 41
31 48 41
32 48 42
33 47 42
34 47 43
35 47 44
36 47 45
37 47 46
38 47 47
39 47 48
40 47 49
41 47 50
42 47 51
43 47 52
44 47 53
45 47 54
46 47 55
47 47 56
48 48 56
49 48 57
50 48 58
51 48 59
52 48 60
53 48 60
54 48 60
55 48 60
56 48 61
57 47 61
58 46 61
59 45 61
60 44 61
61 43 61
62 42 61
63 41 61
64 40 61
65 39 61
66 38 61
end
obstacle 5
0 31 52
1 31 53
2 31 54
3 31 55
4 31 56
5 31 57
6 31 58
7 32 58
8 32 59
9 33 59
10 33 60
11 34 60
12 34 61
13 34 62
14 35 62
15 36 62
16 37 62
17 38 62
18 39 62
19 40 62
20 41 62
21 42 62
22 43 62
23 44 62
24 45 62
25 46 62
26 47 62
27 48 62
28 49 62
29 50 62
30 51 62
31 52 62
32 53 62
33 54 62
34 55 62
35 56 62
36 57 62
37 58 62
38 58 61
39 58 60
40 58 59
41 59 59
42 60 59
43 60 60
44 61 60
45 61 61
46 61 62
47 62 62
48 63 62
49 64 62
end
obstacle 6
0 45 44
1 46 44
2 47 44
3 47 43
4 47 42
5 48 42
