obstacles 94
obstacle 0
0 14 8
1 14 9
2 14 10
3 14 11
4 14 12
5 14 13
6 14 14
7 14 15
8 14 16
9 14 17
10 14 18
11 14 19
12 14 20
13 14 21
14 14 22
15 14 23
16 14 24
17 14 25
18 14 26
19 14 27
20 14 28
21 14 29
22 14 30
23 14 31
24 14 32
25 14 33
26 14 34
27 14 35
28 14 36
29 13 36
30 12 36
31 11 36
32 10 36
33 9 36
34 8 36
35 7 36
36 6 36
37 5 36
38 4 36
39 3 36
end
obstacle 1
0 43 10
1 42 10
2 41 10
3 40 10
4 39 10
5 38 10
6 37 10
7 36 10
8 35 10
9 34 10
10 33 10
11 32 10
12 31 10
13 30 10
14 29 10
15 28 10
16 27 10
17 26 10
18 25 10
19 24 10
20 23 10
21 22 10
22 21 10
23 20 10
24 19 10
25 18 10
26 17 10
27 16 10
end
obstacle 2
0 40 20
1 40 21
2 40 22
3 40 23
4 40 24
5 40 25
6 40 26
7 40 27
8 40 28
9 40 29
10 40 30
11 40 31
12 40 32
13 39 32
14 38 32
15 37 32
16 36 32
17 35 32
18 35 31
19 35 30
20 34 30
21 33 30
22 32 30
23 31 30
24 30 30
25 30 31
26 30 32
27 29 32
28 28 32
29 27 32
30 26 32
31 25 32
32 24 32
33 23 32
end
obstacle 3
0 24 40
1 25 40
2 26 40
3 27 40
4 28 40
5 29 40
6 30 40
7 31 40
8 32 40
9 33 40
10 34 40
11 35 40
12 36 40
13 37 40
14 38 40
15 39 40
16 40 40
17 41 40
18 42 40
19 43 40
20 43 39
21 43 38
22 43 37
23 43 36
end
obstacle 4
0 17 26
1 17 25
2 17 24
3 17 23
4 17 22
5 17 21
6 17 20
7 17 19
8 16 19
9 15 19
10 15 19
11 15 19
12 14 19
13 14 18
14 14 17
15 14 16
16 14 15
17 14 14
18 15 14
19 15 13
20 15 12
21 15 11
22 15 10
23 15 9
end
obstacle 5
0 19 10
1 19 11
2 19 12
3 19 13
4 19 14
5 19 15
6 19 16
7 19 17
8 19 18
9 19 19
10 19 20
11 19 21
12 19 22
13 19 23
14 19 24
15 19 25
16 19 26
17 19 27
18 19 28
19 18 28
20 17 28
21 16 28
22 15 28
end
obstacle 6
0 10 31
1 10 32
2 10 33
3 10 34
4 10 35
5 10 36
6 10 37
7 10 38
8 10 39
9 10 40
10 10 41
11 10 42
12 10 43
13 9 43
14 8 43
15 7 43
16 6 43
17 5 43
18 4 43
19 3 43
end
obstacle 7
0 43 1
1 43 2
2 43 3
3 43 4
4 43 5
5 43 6
6 43 7
7 43 8
8 43 9
9 43 10
10 43 11
11 43 12
12 43 13
13 43 14
14 43 15
15 43 16
16 43 17
17 43 18
18 43 19
19 43 20
20 43 21
21 43 22
22 43 23
23 43 24
24 43 25
25 43 26
26 43 27
27 43 28
28 42 28
29 41 28
30 40 28
31 39 28
32 38 28
33 37 28
34 36 28
35 35 28
36 34 28
37 33 28
38 32 28
39 31 28
40 30 28
41 29 28
42 28 28
43 27 28
44 26 28
end
obstacle 8
0 15 26
1 16 26
2 17 26
3 18 26
4 19 26
5 20 26
6 21 26
7 22 26
8 23 26
9 24 26
10 25 26
11 26 26
12 27 26
13 28 26
14 29 26
15 30 26
16 31 26
17 32 26
18 33 26
19 34 26
20 35 26
21 36 26
22 37 26
23 38 26
24 39 26
25 40 26
26 41 26
27 41 25
end
obstacle 9
0 20 32
1 20 33
2 20 34
3 20 35
4 20 36
5 20 37
6 20 38
7 20 39
8 20 40
9 20 41
10 20 42
11 20 43
12 20 44
13 21 44
14 22 44
15 23 44
16 24 44
17 25 44
18 26 44
19 27 44
20 28 44
21 29 44
22 30 44
23 31 44
24 32 44
25 33 44
26 34 44
27 35 44
28 36 44
29 37 44
30 38 44
31 39 44
32 40 44
33 41 44
34 42 44
35 43 44
36 44 44
37 45 44
end
obstacle 10
0 15 40
1 16 40
2 17 40
3 18 40
4 19 40
5 20 40
6 21 40
7 22 40
8 23 40
9 24 40
10 25 40
11 26 40
12 27 40
13 28 40
14 29 40
15 30 40
16 31 40
17 32 40
18 33 40
19 34 40
20 35 40
21 35 39
22 35 38
23 35 37
24 35 36
25 35 35
26 35 34
27 35 33
28 35 32
29 35 31
30 35 30
end
obstacle 11
0 26 10
1 26 11
2 26 12
3 26 13
4 26 14
5 26 15
6 26 16
7 26 17
8 26 18
9 26 19
10 26 20
11 26 21
12 26 22
13 26 23
14 26 24
15 26 25
16 26 26
17 26 27
18 26 28
19 26 29
20 26 30
21 26 31
22 26 32
23 26 33
24 26 34
25 26 35
26 26 36
27 26 37
28 26 38
29 26 39
30 26 40
31 25 40
32 24 40
33 23 40
34 22 40
35 21 40
36 20 40
37 19 40
38 18 40
39 17 40
40 16 40
41 15 40
42 14 40
43 13 40
44 12 40
45 11 40
46 10 40
47 9 40
end
obstacle 12
0 8 29
1 8 30
2 8 31
3 8 32
4 8 33
5 8 34
6 8 35
7 8 36
8 9 36
9 10 36
10 11 36
11 12 36
12 13 36
13 14 36
14 15 36
15 16 36
16 17 36
17 18 36
18 19 36
19 20 36
20 21 36
21 22 36
22 23 36
23 24 36
24 25 36
25 26 36
26 27 36
27 28 36
28 29 36
29 30 36
30 31 36
31 32 36
32 33 36
33 34 36
34 35 36
35 36 36
36 37 36
37 38 36
end
obstacle 13
0 47 37
1 46 37
2 45 37
3 44 37
4 43 37
5 42 37
6 41 37
7 40 37
8 39 37
9 38 37
end
obstacle 14
0 15 30
1 16 30
2 17 30
3 18 30
4 19 30
5 19 31
6 19 32
7 19 33
8 19 34
9 19 35
10 19 36
11 19 37
12 20 37
13 21 37
14 22 37
15 23 37
16 24 37
17 25 37
18 26 37
19 27 37
20 28 37
21 29 37
22 30 37
23 31 37
24 32 37
25 33 37
26 34 37
27 35 37
end
obstacle 15
0 19 4
1 19 5
2 19 6
3 18 6
end
obstacle 16
0 19 24
1 20 24
2 21 24
3 22 24
4 23 24
5 24 24
6 25 24
7 26 24
8 27 24
9 28 24
10 29 24
11 30 24
12 31 24
13 32 24
14 33 24
15 34 24
16 35 24
17 36 24
18 37 24
19 38 24
20 39 24
21 40 24
22 40 23
23 40 22
24 40 21
25 40 20
26 40 19
end
obstacle 17
0 26 6
1 26 7
2 26 8
3 26 9
4 26 10
5 26 11
6 26 12
7 26 13
8 26 14
9 26 15
10 26 16
11 26 17
12 26 18
13 26 19
14 26 20
15 26 21
16 26 22
17 26 23
18 26 24
19 26 25
20 26 26
21 26 27
22 27 27
23 28 27
24 29 27
25 30 27
26 31 27
end
obstacle 18
0 27 25
1 27 24
2 27 23
3 27 22
4 27 21
5 27 20
6 27 19
7 27 18
8 27 17
9 27 16
10 27 15
11 27 14
12 27 13
13 27 12
14 27 11
15 27 10
16 27 9
17 27 8
18 27 7
19 27 6
20 27 5
21 26 5
22 25 5
23 24 5
24 23 5
end
obstacle 19
0 26 12
1 26 13
2 26 14
3 26 15
4 26 16
5 26 17
6 26 18
7 26 19
8 26 20
9 26 21
10 26 22
11 26 23
12 26 24
13 26 25
14 26 26
15 26 27
16 26 28
17 26 29
18 26 30
19 26 31
20 25 31
21 24 31
end
obstacle 20
0 41 21
1 41 22
2 41 23
3 41 24
4 41 25
5 41 25
6 40 25
7 39 25
8 38 25
9 37 25
10 36 25
11 35 25
12 34 25
13 33 25
14 32 25
15 31 25
16 30 25
17 29 25
18 28 25
19 27 25
20 26 25
21 25 25
22 24 25
23 23 25
end
obstacle 21
0 2 35
1 3 35
2 3 34
3 3 33
4 3 32
5 3 31
6 3 30
7 3 29
8 3 28
9 3 27
10 3 26
11 3 25
12 3 24
13 3 23
14 3 22
15 3 21
16 3 20
17 3 19
18 3 18
19 3 17
20 3 16
21 3 15
22 3 14
23 3 13
24 3 12
25 3 11
26 3 10
27 3 9
end
obstacle 22
0 3 41
1 4 41
2 5 41
3 6 41
4 7 41
5 8 41
6 9 41
7 10 41
8 11 41
9 12 41
10 13 41
11 14 41
12 15 41
13 16 41
14 17 41
15 18 41
16 19 41
17 20 41
18 21 41
19 22 41
20 23 41
21 24 41
22 25 41
23 26 41
24 27 41
25 28 41
26 29 41
27 30 41
28 30 40
end
obstacle 23
0 3 40
1 4 40
2 5 40
3 5 39
4 5 38
5 5 37
6 5 36
7 5 35
8 5 34
9 5 33
10 5 32
11 5 31
end
obstacle 24
0 40 7
1 40 8
2 40 9
3 39 9
4 38 9
5 37 9
6 36 9
7 35 9
8 34 9
9 33 9
10 32 9
11 31 9
12 30 9
13 29 9
14 28 9
15 27 9
16 26 9
17 25 9
18 24 9
19 23 9
20 22 9
21 21 9
22 20 9
23 19 9
24 18 9
25 17 9
26 17 9
27 17 10
28 17 11
29 17 12
30 17 13
31 17 14
32 16 14
33 15 14
34 14 14
35 14 15
36 14 16
37 14 17
38 14 18
39 14 19
40 14 20
41 14 21
42 14 22
43 14 23
44 14 24
45 14 25
46 14 26
47 14 27
48 14 28
49 14 29
50 14 30
51 14 31
52 14 32
53 14 33
54 14 34
55 14 35
56 14 36
end
obstacle 25
0 7 22
1 8 22
2 9 22
3 10 22
4 11 22
5 12 22
6 13 22
7 14 22
8 15 22
9 16 22
10 17 22
11 18 22
12 18 21
13 19 21
14 20 21
15 21 21
16 22 21
17 23 21
18 24 21
19 25 21
20 26 21
21 27 21
22 28 21
23 29 21
24 30 21
25 31 21
26 32 21
27 33 21
28 34 21
29 35 21
30 36 21
31 37 21
32 37 20
33 37 19
34 37 18
35 37 17
36 37 16
37 37 15
38 37 14
39 37 13
40 37 12
41 37 11
42 37 10
43 37 9
44 37 8
45 37 7
46 37 6
47 37 5
48 37 4
49 37 3
50 37 2
51 37 1
end
obstacle 26
0 40 46
1 40 45
2 40 44
3 40 43
4 40 42
5 40 41
6 40 40
7 40 39
8 40 38
9 40 37
10 40 36
11 40 35
12 40 34
13 40 33
14 40 32
15 40 31
16 40 30
17 40 29
18 40 28
19 40 27
20 40 26
21 40 25
22 40 24
23 40 23
24 40 22
25 40 21
26 40 20
27 39 20
28 39 19
29 39 18
30 39 17
31 39 16
32 39 15
33 39 14
34 39 13
35 39 12
36 39 11
37 39 10
38 39 9
39 39 8
40 38 8
41 37 8
42 36 8
43 35 8
44 34 8
45 33 8
46 32 8
47 31 8
48 30 8
49 29 8
50 28 8
51 27 8
52 26 8
53 25 8
end
obstacle 27
0 7 15
1 7 16
2 7 17
3 7 18
4 7 19
5 7 20
6 7 21
7 7 22
8 8 22
9 9 22
10 10 22
11 10 23
12 10 24
13 10 25
14 10 26
15 10 27
16 10 28
17 10 29
18 10 30
19 10 31
20 10 32
21 10 33
22 10 34
23 10 35
24 10 36
25 10 37
26 10 38
27 10 39
28 10 40
29 10 41
30 10 42
31 11 42
32 12 42
33 13 42
34 14 42
end
obstacle 28
0 32 6
1 32 7
2 32 8
3 32 9
4 32 10
5 33 10
6 34 10
7 35 10
8 35 11
